iteration,test_accuracy,cv_accuracy,train_accuracy,precision,recall,f1,training_size
1,0.9623893805309734,0.9873563218390805,0.9922302158273382,[0.94736842 0.91729323 0.98576512],[0.9        0.976      0.96515679],[0.92307692 0.94573643 0.97535211],3475
2,0.9668141592920354,0.9884210526315791,0.9931560937088707,[0.94871795 0.92481203 0.98928571],[0.925      0.984      0.96515679],[0.93670886 0.95348837 0.97707231],3799
3,0.9668141592920354,0.9888020833333332,0.9916644959624902,[0.94871795 0.92481203 0.98928571],[0.925      0.984      0.96515679],[0.93670886 0.95348837 0.97707231],3839
4,0.9646017699115044,0.9891285429302059,0.9924889924889925,[0.94736842 0.91111111 0.99283154],[0.9        0.984      0.96515679],[0.92307692 0.94615385 0.97879859],3861
5,0.9646017699115044,0.989203084832905,0.9920267489711934,[0.94871795 0.91729323 0.98928571],[0.925      0.976      0.96515679],[0.93670886 0.94573643 0.97707231],3888
6,0.9646017699115044,0.9887172895656187,0.9917864476386037,[0.94871795 0.91111111 0.99280576],[0.925      0.984      0.96167247],[0.93670886 0.94615385 0.97699115],3896
7,0.9646017699115044,0.9892307692307692,0.9925621954347269,[0.94871795 0.91111111 0.99280576],[0.925      0.984      0.96167247],[0.93670886 0.94615385 0.97699115],3899
8,0.9668141592920354,0.9892307692307692,0.9923057194152347,[0.94871795 0.91791045 0.99283154],[0.925      0.984      0.96515679],[0.93670886 0.94980695 0.97879859],3899
